辽宁组播,#genre#
CCTV-1 综合,http://221.200.20.225:8866/rtp/232.0.0.27:1234
CCTV-2 财经,http://221.200.20.225:8866/rtp/232.0.0.135:1234
CCTV-3 综艺,http://221.200.20.225:8866/rtp/232.0.0.170:1234
CCTV-4 国际,http://221.200.20.225:8866/rtp/232.0.0.201:1234
CCTV-5 体育,http://221.200.20.225:8866/rtp/232.0.0.171:1234
CCTV-6 电影,http://221.200.20.225:8866/rtp/232.0.0.172:1234
CCTV-7 国防军事,http://221.200.20.225:8866/rtp/232.0.0.136:1234
CCTV-8 电视剧,http://221.200.20.225:8866/rtp/232.0.0.173:1234
CCTV-9 纪录,http://221.200.20.225:8866/rtp/232.0.0.137:1234
CCTV-10 科教,http://221.200.20.225:8866/rtp/232.0.0.138:1234
CCTV-11 戏曲,http://221.200.20.225:8866/rtp/232.0.0.178:1234
CCTV-12 社会与法,http://221.200.20.225:8866/rtp/232.0.0.139:1234
CCTV-13 新闻,http://221.200.20.225:8866/rtp/232.0.0.15:1234
CCTV-14 少儿,http://221.200.20.225:8866/rtp/232.0.0.140:1234
CCTV-15 音乐,http://221.200.20.225:8866/rtp/232.0.0.179:1234
CCTV-16 奥林匹克,http://221.200.20.225:8866/rtp/232.0.0.182:1234
CCTV-17 农业农村,http://221.200.20.225:8866/rtp/232.0.0.230:1234
CCTV-5+ 体育赛事,http://221.200.20.225:8866/rtp/232.0.0.93:1234
CGTN,http://221.200.20.225:8866/rtp/232.0.0.188:1234
CGTN纪录,http://221.200.20.225:8866/rtp/232.0.0.198:1234
CGTN俄语,http://221.200.20.225:8866/rtp/232.0.0.28:1234
CGTN西语,http://221.200.20.225:8866/rtp/232.0.0.6:1234
CGTN阿语,http://221.200.20.225:8866/rtp/232.0.0.43:1234
CGTN法语,http://221.200.20.225:8866/rtp/232.0.0.8:1234
辽宁卫视,http://221.200.20.225:8866/rtp/232.0.0.126:1234
辽宁都市,http://221.200.20.225:8866/rtp/232.0.0.154:1234
辽宁影视剧,http://221.200.20.225:8866/rtp/232.0.0.25:1234
辽宁体育休闲,http://221.200.20.225:8866/rtp/232.0.0.164:1234
辽宁生活,http://221.200.20.225:8866/rtp/232.0.0.150:1234
辽宁教育青少,http://221.200.20.225:8866/rtp/232.0.0.241:1234
辽宁北方,http://221.200.20.225:8866/rtp/232.0.0.151:1234
辽宁宜佳购物,http://221.200.20.225:8866/rtp/232.0.0.30:1234
辽宁公共,http://221.200.20.225:8866/rtp/232.0.0.168:1234
辽宁经济,http://221.200.20.225:8866/rtp/232.0.0.156:1234
移动电视,http://221.200.20.225:8866/rtp/232.0.0.165:1234
家有购物,http://221.200.20.225:8866/rtp/232.0.0.225:1234
央广购物,http://221.200.20.225:8866/rtp/232.0.0.240:1234
聚鲨环球精选,http://221.200.20.225:8866/rtp/232.0.0.207:1234
沈阳新闻综合,http://221.200.20.225:8866/rtp/232.0.0.206:1234
优购物,http://221.200.20.225:8866/rtp/232.0.0.250:1234
睛彩竞技,http://221.200.20.225:8866/rtp/232.0.0.19:1234
睛彩篮球,http://221.200.20.225:8866/rtp/232.0.0.24:1234
睛彩青少,http://221.200.20.225:8866/rtp/232.0.0.62:1234
睛彩广场舞,http://221.200.20.225:8866/rtp/232.0.0.64:1234
北京卫视,http://221.200.20.225:8866/rtp/232.0.0.117:1234
天津卫视,http://221.200.20.225:8866/rtp/232.0.0.125:1234
上海东方卫视,http://221.200.20.225:8866/rtp/232.0.0.122:1234
浙江卫视,http://221.200.20.225:8866/rtp/232.0.0.123:1234
江苏卫视,http://221.200.20.225:8866/rtp/232.0.0.116:1234
安徽卫视,http://221.200.20.225:8866/rtp/232.0.0.141:1234
湖南卫视,http://221.200.20.225:8866/rtp/232.0.0.115:1234
贵州卫视,http://221.200.20.225:8866/rtp/232.0.0.181:1234
山东卫视,http://221.200.20.225:8866/rtp/232.0.0.131:1234
山西卫视,http://221.200.20.225:8866/rtp/232.0.0.86:1234
广东卫视,http://221.200.20.225:8866/rtp/232.0.0.130:1234
广西卫视,http://221.200.20.225:8866/rtp/232.0.0.22:1234
湖北卫视,http://221.200.20.225:8866/rtp/232.0.0.124:1234
江西卫视,http://221.200.20.225:8866/rtp/232.0.0.31:1234
河北卫视,http://221.200.20.225:8866/rtp/232.0.0.32:1234
河南卫视,http://221.200.20.225:8866/rtp/232.0.0.33:1234
四川卫视,http://221.200.20.225:8866/rtp/232.0.0.185:1234
重庆卫视,http://221.200.20.225:8866/rtp/232.0.0.186:1234
福建东南卫视,http://221.200.20.225:8866/rtp/232.0.0.42:1234
海南卫视,http://221.200.20.225:8866/rtp/232.0.0.26:1234
青海卫视,http://221.200.20.225:8866/rtp/232.0.0.101:1234
云南卫视,http://221.200.20.225:8866/rtp/232.0.0.37:1234
陕西卫视,http://221.200.20.225:8866/rtp/232.0.0.35:1234
内蒙古卫视,http://221.200.20.225:8866/rtp/232.0.0.111:1234
宁夏卫视,http://221.200.20.225:8866/rtp/232.0.0.34:1234
吉林卫视,http://221.200.20.225:8866/rtp/232.0.0.180:1234
新疆卫视,http://221.200.20.225:8866/rtp/232.0.0.18:1234
甘肃卫视,http://221.200.20.225:8866/rtp/232.0.0.50:1234
西藏卫视,http://221.200.20.225:8866/rtp/232.0.0.114:1234
黑龙江卫视,http://221.200.20.225:8866/rtp/232.0.0.95:1234
深圳卫视,http://221.200.20.225:8866/rtp/232.0.0.110:1234
厦门卫视,http://221.200.20.225:8866/rtp/232.0.0.160:1234
中国教育1,http://221.200.20.225:8866/rtp/232.0.0.212:1234
CETV2,http://221.200.20.225:8866/rtp/232.0.0.238:1234
CETV4,http://221.200.20.225:8866/rtp/232.0.0.46:1234
山东教育,http://221.200.20.225:8866/rtp/232.0.0.169:1234
兵团卫视,http://221.200.20.225:8866/rtp/232.0.0.67:1234
延边卫视,http://221.200.20.225:8866/rtp/232.0.0.161:1234
金鹰卡通,http://221.200.20.225:8866/rtp/232.0.0.90:1234
炫动卡通,http://221.200.20.225:8866/rtp/232.0.0.103:1234
优漫卡通,http://221.200.20.225:8866/rtp/232.0.0.159:1234
嘉佳卡通,http://221.200.20.225:8866/rtp/232.0.0.157:1234
BRTV卡酷少儿,http://221.200.20.225:8866/rtp/232.0.0.54:1234
金鹰纪实,http://221.200.20.225:8866/rtp/232.0.0.163:1234
北京冬奥纪实,http://221.200.20.225:8866/rtp/232.0.0.162:1234
