//#公众号：榴芒电视
//资源库：https://flowus.cn/kdsb

🐼版权误删,#genre#
榴芒电视,https://gitee.com/kdsb/lm/raw/master/ad.mp4

🐼电视直播,#genre#
南京教科,http://ott.mobaibox.com/PLTV/*/224/3221227194/index.m3u8$卫视
南京十八,http://ott.mobaibox.com/PLTV/*/224/3221227178/index.m3u8$卫视
南京文旅,http://ott.mobaibox.com/PLTV/*/224/3221227722/index.m3u8$卫视
南京少儿,http://ott.mobaibox.com/PLTV/*/224/3221227733/index.m3u8$卫视
南京新闻综合,http://ott.mobaibox.com/PLTV/*/224/3221227213/index.m3u8$卫视
CCTV4K,http://ott.mobaibox.com/PLTV/*/224/3221228472/index.m3u8$央视4K
CCTV8K,http://ott.mobaibox.com/PLTV/*/224/3221228165/index.m3u8$央视假8K
江苏文艺广播FM91.4,http://ott.mobaibox.com/PLTV/*/224/3221227987/1.m3u8
江苏健康广播FM100.5,http://ott.mobaibox.com/PLTV/*/224/3221227952/1.m3u8
江苏音乐台FM89.7,http://ott.mobaibox.com/PLTV/*/224/3221227949/1.m3u8
江苏交通广播网FM101.1,http://ott.mobaibox.com/PLTV/*/224/3221227937/1.m3u8
金陵之声FM99.7,http://ott.mobaibox.com/PLTV/*/224/3221227940/index.m3u8
江苏经典流行音乐FM97.5,http://ott.mobaibox.com/PLTV/*/224/3221227943/index.m3u8
江苏财经广播FM95.2,http://ott.mobaibox.com/PLTV/*/224/3221227946/index.m3u8
江苏新闻广播FM93.7,http://ott.mobaibox.com/PLTV/*/224/3221227984/index.m3u8
江苏故事广播FM104.9,http://ott.mobaibox.com/PLTV/*/224/3221227990/index.m3u8
